GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A087WWA1	P3R3URF	involved_in	GO:0046854	phosphatidylinositol phosphate biosynthetic process	ECO:0000318	IBA	PMID:21873635	FB:FBgn0020622|PANTHER:PTN000806614|UniProtKB:P23727	9606	GO_Central		P
UniProtKB	A0A087X1C5	CYP2D7	involved_in	GO:0019369	arachidonic acid metabolic process	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000670525|RGD:620640	9606	GO_Central		P
UniProtKB	A1A5B4	ANO9	involved_in	GO:0006629	lipid metabolic process	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0443	9606	UniProt		P
UniProtKB	A2A3N6	PIPSL	enables	GO:0016308	1-phosphatidylinositol-4-phosphate 5-kinase activity	ECO:0000318	IBA	PMID:21873635	FB:FBgn0016984|MGI:MGI:107929|MGI:MGI:107930|MGI:MGI:1298224|MGI:MGI:2448520|PANTHER:PTN000557026|PomBase:SPAC19G12.14|RGD:621711|SGD:S000002616|TAIR:locus:2040327|TAIR:locus:2066246|TAIR:locus:2077397|TAIR:locus:2080585|TAIR:locus:2125098|TAIR:locus:2201108|TAIR:locus:2203211|UniProtKB:A0A1D8PJ31|UniProtKB:P48426|UniProtKB:P78356|UniProtKB:Q8TBX8|UniProtKB:Q99755|WB:WBGene00004087|ZFIN:ZDB-GENE-050522-517|ZFIN:ZDB-GENE-080721-18|dictyBase:DDB_G0267588	9606	GO_Central		F
UniProtKB	A2A3N6	PIPSL	involved_in	GO:0046854	phosphatidylinositol phosphate biosynthetic process	ECO:0000318	IBA	PMID:21873635	FB:FBgn0039924|PANTHER:PTN000557026|PomBase:SPAC19G12.14|SGD:S000002616|TAIR:locus:2125098|TAIR:locus:2201108|UniProtKB:P48426|UniProtKB:P78356|UniProtKB:Q8TBX8|dictyBase:DDB_G0267588	9606	GO_Central		P
UniProtKB	A2A3N6	PIPSL	enables	GO:0016307	phosphatidylinositol phosphate kinase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002498	9606	InterPro		F
UniProtKB	A2A3N6	PIPSL	involved_in	GO:0046488	phosphatidylinositol metabolic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002498	9606	InterPro		P
UniProtKB	A2RUU4	CLPSL1	involved_in	GO:0016042	lipid catabolic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001981	9606	InterPro		P
UniProtKB	A4D126	CRPPA	involved_in	GO:0008299	isoprenoid biosynthetic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR018294	9606	InterPro		P
UniProtKB	A4FU01	MTMR11	involved_in	GO:0046856	phosphatidylinositol dephosphorylation	ECO:0000318	IBA	PMID:21873635	MGI:MGI:1891693|MGI:MGI:1924366|PANTHER:PTN000086844|SGD:S000003871|UniProtKB:Q13496|UniProtKB:Q13613|UniProtKB:Q13614|UniProtKB:Q13615|UniProtKB:Q96EF0|UniProtKB:Q9Y217	9606	GO_Central		P
UniProtKB	A4QPH2	PI4KAP2	involved_in	GO:0046854	phosphatidylinositol phosphate biosynthetic process	ECO:0000318	IBA	PMID:21873635	FB:FBgn0015277|FB:FBgn0015278|FB:FBgn0015279|FB:FBgn0267350|MGI:MGI:1203729|MGI:MGI:1203730|MGI:MGI:2445019|MGI:MGI:2448506|MGI:MGI:2685045|PANTHER:PTN000005673|PomBase:SPAC458.05|RGD:1306468|RGD:620231|RGD:620916|RGD:620917|SGD:S000004230|SGD:S000004296|SGD:S000005211|UniProtKB:A0A1D8PDV7|UniProtKB:P32871|UniProtKB:P42338|UniProtKB:P48736|UniProtKB:Q8NEB9|WB:WBGene00006932|WB:WBGene00009552	9606	GO_Central		P
UniProtKB	A4QPH2	PI4KAP2	enables	GO:0004430	1-phosphatidylinositol 4-kinase activity	ECO:0000318	IBA	PMID:21873635	MGI:MGI:2448506|PANTHER:PTN000006021|RGD:621213|SGD:S000004296|TAIR:locus:2010202|UniProtKB:Q57WD8	9606	GO_Central		F
UniProtKB	A4QPH2	PI4KAP2	enables	GO:0052742	phosphatidylinositol kinase activity	ECO:0000318	IBA	PMID:21873635	FB:FBgn0015277|FB:FBgn0015278|FB:FBgn0015279|MGI:MGI:1203729|MGI:MGI:1203730|MGI:MGI:1206581|MGI:MGI:1353576|MGI:MGI:1922019|MGI:MGI:2448506|PANTHER:PTN000005673|PomBase:SPAC458.05|RGD:1306468|RGD:620231|RGD:620899|RGD:620916|RGD:620917|RGD:621213|RGD:621214|SGD:S000004230|SGD:S000004296|SGD:S000005211|TAIR:locus:2010202|TAIR:locus:2164401|UniProtKB:A0A1D8PDV7|UniProtKB:O00443|UniProtKB:O00750|UniProtKB:O02810|UniProtKB:P32871|UniProtKB:P42336|UniProtKB:P48736|UniProtKB:Q57WD8|UniProtKB:Q580E2|UniProtKB:Q8NEB9|UniProtKB:Q9UBF8|WB:WBGene00006932	9606	GO_Central		F
UniProtKB	A4QPH2	PI4KAP2	involved_in	GO:0046854	phosphatidylinositol phosphate biosynthetic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR015433	9606	InterPro		P
UniProtKB	A5PLL7	PEDS1	involved_in	GO:0008611	ether lipid biosynthetic process	ECO:0000318	IBA	PMID:21873635	MGI:MGI:2142624|PANTHER:PTN008298979|UniProtKB:A5PLL7	9606	GO_Central		P
UniProtKB	A5PLL7	PEDS1	involved_in	GO:0008611	ether lipid biosynthetic process	ECO:0000314	IDA	PMID:31604315		9606	UniProt		P
UniProtKB	A5PLL7	PEDS1	involved_in	GO:0008611	ether lipid biosynthetic process	ECO:0000315	IMP	PMID:32209662		9606	UniProt		P
UniProtKB	A5PLL7	PEDS1	involved_in	GO:0006629	lipid metabolic process	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0443	9606	UniProt		P
UniProtKB	A5PLL7	PEDS1	involved_in	GO:0006631	fatty acid metabolic process	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0276	9606	UniProt		P
UniProtKB	A5PLL7	PEDS1	involved_in	GO:0008611	ether lipid biosynthetic process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q99LQ7|ensembl:ENSMUSP00000006587	9606	Ensembl		P
UniProtKB	A5PLL7	PEDS1	involved_in	GO:0006631	fatty acid metabolic process	ECO:0000322	IEA	GO_REF:0000041	UniPathway:UPA00199	9606	UniProt		P
UniProtKB	A6NCL2	LRCOL1	involved_in	GO:0016042	lipid catabolic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001981	9606	InterPro		P
UniProtKB	A6NDG6	PGP	involved_in	GO:0006650	glycerophospholipid metabolic process	ECO:0000314	IDA	PMID:26755581		9606	UniProt		P
UniProtKB	A6NDG6	PGP	involved_in	GO:0006650	glycerophospholipid metabolic process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8CHP8|ensembl:ENSMUSP00000052866	9606	Ensembl		P
UniProtKB	A6NDG6	PGP	involved_in	GO:0006650	glycerophospholipid metabolic process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:D3ZDK7|ensembl:ENSRNOP00000012720	9606	Ensembl		P
UniProtKB	A6NGU5	GGT3P	involved_in	GO:1901750	leukotriene D4 biosynthetic process	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P19440	9606	UniProt	occurs_in(UBERON:0006553)|occurs_in(UBERON:0001969)	P
UniProtKB	A6NH21	SERINC4	involved_in	GO:0008654	phospholipid biosynthetic process	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0594	9606	UniProt		P
UniProtKB	A6NH21	SERINC4	involved_in	GO:0006629	lipid metabolic process	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0443	9606	UniProt		P
UniProtKB	A6NKP2	SDR42E2	involved_in	GO:0006694	steroid biosynthetic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002225	9606	InterPro		P
UniProtKB	A8MWK0	FADS2B	involved_in	GO:0006629	lipid metabolic process	ECO:0000318	IBA	PMID:21873635	CGD:CAL0000198953|PANTHER:PTN002321280|RGD:621678|TAIR:locus:2062928|TAIR:locus:2082792|UniProtKB:O60427|UniProtKB:P9WNZ3|UniProtKB:Q4G2T3|WB:WBGene00001393|WB:WBGene00001394|WB:WBGene00001395|WB:WBGene00001396|dictyBase:DDB_G0282147|dictyBase:DDB_G0285211	9606	GO_Central		P
UniProtKB	A8MWK0	FADS2B	involved_in	GO:0006629	lipid metabolic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR005804	9606	InterPro		P
UniProtKB	A8MWK0	FADS2B	involved_in	GO:0006629	lipid metabolic process	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0443	9606	UniProt		P
UniProtKB	A8MWK0	FADS2B	involved_in	GO:0006631	fatty acid metabolic process	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0276	9606	UniProt		P
UniProtKB	A8MWK0	FADS2B	involved_in	GO:0006633	fatty acid biosynthetic process	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0275	9606	UniProt		P
UniProtKB	A8MWK0	FADS2B	involved_in	GO:0006636	unsaturated fatty acid biosynthetic process	ECO:0000322	IEA	GO_REF:0000041	UniPathway:UPA00658	9606	UniProt		P
UniProtKB	A8MWK0	FADS2B	involved_in	GO:0008610	lipid biosynthetic process	ECO:0007669	IEA	GO_REF:0000117	ARBA:ARBA00027236	9606	UniProt		P
UniProtKB	B5MD39	GGTLC3	involved_in	GO:1901750	leukotriene D4 biosynthetic process	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P19440	9606	UniProt	occurs_in(UBERON:0006553)|occurs_in(UBERON:0001969)	P
UniProtKB	C9JRZ8	AKR1B15	involved_in	GO:0006629	lipid metabolic process	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0443	9606	UniProt		P
UniProtKB	C9JRZ8	AKR1B15	enables	GO:0052650	NADP-retinol dehydrogenase activity	ECO:0000501	IEA	GO_REF:0000003	EC:1.1.1.300	9606	UniProt		F
UniProtKB	C9JRZ8	AKR1B15	involved_in	GO:0006703	estrogen biosynthetic process	ECO:0000304	TAS	Reactome:R-HSA-193144		9606	Reactome		P
UniProtKB	C9JRZ8	AKR1B15	enables	GO:0052650	NADP-retinol dehydrogenase activity	ECO:0007669	IEA	GO_REF:0000116	RHEA:25033	9606	RHEA		F
